Date,CalendarWeek,CalendarMonth,CalendarDayInMonth,CalendarYear
17/03/2021,11,3,17,2021
18/03/2021,11,3,18,2021
19/03/2021,11,3,19,2021
20/03/2021,11,3,20,2021
21/03/2021,11,3,21,2021
22/03/2021,12,3,22,2021
23/03/2021,12,3,23,2021
24/03/2021,12,3,24,2021
25/03/2021,12,3,25,2021
26/03/2021,12,3,26,2021
27/03/2021,12,3,27,2021
28/03/2021,12,3,28,2021
29/03/2021,13,3,29,2021
30/03/2021,13,3,30,2021
31/03/2021,13,3,31,2021
01/04/2021,13,4,1,2021
02/04/2021,13,4,2,2021
03/04/2021,13,4,3,2021
04/04/2021,13,4,4,2021
05/04/2021,14,4,5,2021
06/04/2021,14,4,6,2021
07/04/2021,14,4,7,2021
08/04/2021,14,4,8,2021
09/04/2021,14,4,9,2021
10/04/2021,14,4,10,2021
11/04/2021,14,4,11,2021
12/04/2021,15,4,12,2021
13/04/2021,15,4,13,2021
14/04/2021,15,4,14,2021
15/04/2021,15,4,15,2021
16/04/2021,15,4,16,2021
17/04/2021,15,4,17,2021
18/04/2021,15,4,18,2021
19/04/2021,16,4,19,2021
20/04/2021,16,4,20,2021
21/04/2021,16,4,21,2021
22/04/2021,16,4,22,2021
23/04/2021,16,4,23,2021
24/04/2021,16,4,24,2021
25/04/2021,16,4,25,2021
26/04/2021,17,4,26,2021
27/04/2021,17,4,27,2021
28/04/2021,17,4,28,2021
29/04/2021,17,4,29,2021
30/04/2021,17,4,30,2021
01/05/2021,17,5,1,2021
02/05/2021,17,5,2,2021
03/05/2021,18,5,3,2021
04/05/2021,18,5,4,2021
05/05/2021,18,5,5,2021
06/05/2021,18,5,6,2021
07/05/2021,18,5,7,2021
08/05/2021,18,5,8,2021
09/05/2021,18,5,9,2021
10/05/2021,19,5,10,2021
11/05/2021,19,5,11,2021
12/05/2021,19,5,12,2021
13/05/2021,19,5,13,2021
14/05/2021,19,5,14,2021
15/05/2021,19,5,15,2021
16/05/2021,19,5,16,2021
17/05/2021,20,5,17,2021
18/05/2021,20,5,18,2021
19/05/2021,20,5,19,2021
20/05/2021,20,5,20,2021
21/05/2021,20,5,21,2021
22/05/2021,20,5,22,2021
23/05/2021,20,5,23,2021
24/05/2021,21,5,24,2021
25/05/2021,21,5,25,2021
26/05/2021,21,5,26,2021
27/05/2021,21,5,27,2021
28/05/2021,21,5,28,2021
29/05/2021,21,5,29,2021
30/05/2021,21,5,30,2021
31/05/2021,22,5,31,2021
01/06/2021,22,6,1,2021
02/06/2021,22,6,2,2021
03/06/2021,22,6,3,2021
04/06/2021,22,6,4,2021
05/06/2021,22,6,5,2021
06/06/2021,22,6,6,2021
07/06/2021,23,6,7,2021
08/06/2021,23,6,8,2021
09/06/2021,23,6,9,2021
10/06/2021,23,6,10,2021
11/06/2021,23,6,11,2021
12/06/2021,23,6,12,2021
13/06/2021,23,6,13,2021
14/06/2021,24,6,14,2021
15/06/2021,24,6,15,2021
16/06/2021,24,6,16,2021
17/06/2021,24,6,17,2021
18/06/2021,24,6,18,2021
19/06/2021,24,6,19,2021
20/06/2021,24,6,20,2021
21/06/2021,25,6,21,2021
22/06/2021,25,6,22,2021
23/06/2021,25,6,23,2021
24/06/2021,25,6,24,2021
25/06/2021,25,6,25,2021
26/06/2021,25,6,26,2021
27/06/2021,25,6,27,2021
28/06/2021,26,6,28,2021
29/06/2021,26,6,29,2021
30/06/2021,26,6,30,2021
01/07/2021,26,7,1,2021
02/07/2021,26,7,2,2021
03/07/2021,26,7,3,2021
04/07/2021,26,7,4,2021
05/07/2021,27,7,5,2021
06/07/2021,27,7,6,2021
07/07/2021,27,7,7,2021
08/07/2021,27,7,8,2021
09/07/2021,27,7,9,2021
10/07/2021,27,7,10,2021
11/07/2021,27,7,11,2021
12/07/2021,28,7,12,2021
13/07/2021,28,7,13,2021
14/07/2021,28,7,14,2021
15/07/2021,28,7,15,2021
16/07/2021,28,7,16,2021
17/07/2021,28,7,17,2021
18/07/2021,28,7,18,2021
19/07/2021,29,7,19,2021
20/07/2021,29,7,20,2021
21/07/2021,29,7,21,2021
22/07/2021,29,7,22,2021
23/07/2021,29,7,23,2021
24/07/2021,29,7,24,2021
25/07/2021,29,7,25,2021
26/07/2021,30,7,26,2021
27/07/2021,30,7,27,2021
28/07/2021,30,7,28,2021
29/07/2021,30,7,29,2021
30/07/2021,30,7,30,2021
31/07/2021,30,7,31,2021
01/08/2021,30,8,1,2021
02/08/2021,31,8,2,2021
03/08/2021,31,8,3,2021
